"Ridgewood Bistro LLC — Operating Account — April 2026"
"Bank: Valley National Bank    Account: ****3421"

Date,Description,Withdrawal,Deposit,Balance
04/01/2026,"Opening balance",,,"12,482.16"
04/02/2026,"SYSCO FOODS PAYMENT REF#44839","2347.82",,"10,134.34"
04/03/2026,"SQ *CARD SALES DEPOSIT",,"4892.15","15,026.49"
04/03/2026,"CON EDISON UTILITY PMT","687.40",,"14,339.09"
04/05/2026,"SQ *CARD SALES DEPOSIT",,"3421.50","17,760.59"
04/06/2026,"PSE&G GAS BILL ACH","412.88",,"17,347.71"
04/08/2026,"GUSTO PAYROLL RUN04 PPD","8450.00",,"8,897.71"
04/10/2026,"RESTAURANT DEPOT 2841","1245.66",,"7,652.05"
04/12/2026,"SQ *CARD SALES DEPOSIT",,"5230.80","12,882.85"
04/14/2026,"RIDGEWOOD LANDLORD LLC MEMO:APR RENT","3800.00",,"9,082.85"
04/15/2026,"AMEX CHG CARD PMT - UNKNOWN","287.50",,"8,795.35"
04/17/2026,"SQUARE PROCESSING FEES","142.33",,"8,653.02"
04/18/2026,"SYSCO FOODS PAYMENT REF#44919","1988.21",,"6,664.81"
04/19/2026,"SYSCO FOODS PAYMENT REF#44919","1988.21",,"4,676.60"
04/20/2026,"GUSTO PAYROLL RUN05 PPD","8450.00",,"-3,773.40"
04/21/2026,"OWNER CAPITAL CONTRIBUTION",,"5000.00","1,226.60"
04/22/2026,"SQ *CARD SALES DEPOSIT",,"6104.25","7,330.85"
04/23/2026,"Closing balance (period-to-date)",,,"7,330.85"
